Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,FL,"""34142"""
Aveda Frederic's Institute,"6020 East 82nd Street, Castleton Square Mall",Indianapolis,IN,"""64250"""
Aveda Fredric's Instutute,7664 Voice of America Center Drive,West Chester,OH,"""45069"""
Aveda Institute,400 Central Ave SE,Minneapolis,MN,"""55414"""
Aveda Institute - Boise,3419 North Cole Road,Boise,ID,"""83704"""
Aveda Institute - Corpus Christi,"5488 South Padre Island Drive, Suite 2056",Corpus Christi,TX,"""78411"""
Aveda Institute - Covington,1355 Polders Lane,Covington,LA,"""70433"""
Aveda Institute Atlanta,"1745 Peatchtree Street Northeast, Suite A",Atlanta,GA,"""30309"""
Aveda Institute Birmingham,3200 Galleria Circle,Hoover,AL,"""35244"""
Aveda Institute Chapel Hill,200 West Franklin Street,Chapel Hill,NC,"""27516"""
Aveda Institute Charlotte,1520 South Blvd. Suite 150,Charlotte,NC,
Aveda Institute Denver,700 16th Street,Denver,CO,"""80202"""
Aveda Institute Des Moines,"6905 Mills Civic Parkway, Suite 120",West Des Moines,IA,"""50266"""
Aveda Institute Houston,"19241 David Memorial Drive, Suite 100",Shenandoah,TX,"""77385"""
Aveda Institute Lafayette,2922 Johnston Street,Lafayette,LA,"""70503-3246"""
Aveda Institute Las Vegas,4856 South Eastern Avenue,Las Vegas,NV,"""89119"""
Aveda Institute New Orleans,3330 Veterans Boulevard,Metairie,LA,"""70002"""
Aveda Institute New York,233 Spring Street,New York,NY,"""10013"""
Aveda Institute of Columbus,1618 Neil Avenue,Columbus,OH,"""43201"""
Aveda Institute Portland,325 North West 13th Street,Portland,OR,"""97209"""
Aveda Institute Provo,"1700 North State Street, Suite 18",Provo,UT,"""84604"""
Aveda Institute San Antonio,"21003 Encino Commons, Suite 121",San Antonio,TX,"""78258"""
Aveda Institute South Florida,4186 University Drive,Davie,FL,"""33328"""
Aveda Institute Tallahassee,2020 West Pensacola Street,Tallahassee,FL,"""32304"""
Aveda Institute Tucson,845 North Park Avenue,Tucson,AZ,"""85719"""
Aveda Institute-Baton Rouge,2834 S Sherwood Forest Blvd Ste A,Baton Rouge,LA,"""70816-2246"""
Avenue Five Institute,"8620 Burnet Road, Suite 300",Austin,TX,"""78757"""
Avera McKennan Hospital,800 E 21st St. P.O. Box 5045,Sioux Falls,SD,"""57117-5045"""
Avera Sacred Heart Hospital,501 Summit,Yankton,SD,"""57078-3899"""
Averett University,420 W Main St,Danville,VA,"""24541"""
AVI Career Training,10130 Colvin Run Road,Great Falls,VA,"""22066"""
Aviation Institute of Maintenance - Atlanta,2025 Satellite Point,Duluth,GA,"""30096"""
Aviation Institute of Maintenance - Chesapeake,2211 South Military Highway,Chesapeake,VA,"""23320"""
Aviation Institute of Maintenance - Dallas,7555 Lemmon Avenue,Dallas,TX,"""75209"""
Aviation Institute of Maintenance - Houston,7651 Airport Blvd.,Houston,TX,"""77061"""
Aviation Institute of Maintenance - Indianapolis,7251 W McCarty St,Indianapolis,IN,"""46241"""
Aviation Institute of Maintenance - Kansas City,4100 Raytown Road,Kansas City,MO,"""64129"""
Aviation Institute of Maintenance - Manassas,9821 Godwin Drive,Manassas,VA,"""20110"""
Aviation Institute of Maintenance - Orlando,83 Nilson Way,Orlando,FL,"""32803"""
Aviation Institute of Maintenance - Philadelphia,3001 Grant Avenue,Philadelphia,PA,"""19114-1018"""
Aviator College of Aeronautical Science & Technology,3800 St. Lucie Blvd.,Ft. Pierce,FL,"""34946"""
Avila University,11901 Wornall Rd,Kansas City,MO,"""64145-1698"""
Avtech Institute of Technology,"50 Cragwood Road, 3rd Floor",South Plainfield,NJ,"""07080"""
Ayers Institute Inc,3010 Knight Street Suite 300,Shreveport,LA,"""71105"""
Azure College,1525 NW 167 Street,Miami Gardens,FL,"""33169"""
Azusa Pacific University,901 E Alosta,Azusa,CA,"""91702-7000"""
B.H. Carroll Theological Institute,"301 S. Center Street, Suite 100",Arlington,TX,"""76010"""
Babel University Professional School of Translation,1833 Kalakaua Avenue #208,Honolulu,HI,"""96815"""
Babson College,Babson Park,Wellesley,MA,"""02457-0310"""
Bacone College,2299 Old Bacone Rd.,Muskogee,OK,"""74403"""
Bainbridge Graduate Institute,"220 Second Avenue South, 4th Floor",Seattle,WA,"""98104"""
Bainbridge State College,2500 E Shotwell St,Bainbridge,GA,"""39819"""
Bais Binyomin Academy,132 Prospect Street,Stamford,CT,"""06901"""
Bais Medrash Toras Chesed,910 Monmouth Avenue,Lakewood,NJ,"""08701"""
Baker College,1050 West Bristol Road,Flint,MI,"""48507"""
Baker University,618 Eighth Street,Baldwin City,KS,"""66006-0065"""
Bakersfield College,1801 Panorama Dr,Bakersfield,CA,"""93305-1299"""
Bakke Graduate University,"1013 8th Ave, Ste 401",Seattle,WA,"""98104"""
Baldwin Park Adult and Community Education,4640 N. Maine Ave,Baldwin Park,CA,"""91706-4221"""
Baldwin-Wallace College,275 Eastland Rd,Berea,OH,"""44017-2088"""
Ball State University,2000 University Ave,Muncie,IN,"""47306"""
Ballet Hispanico School,167 West 89th Street,New York,NY,"""10024"""
Baltimore City Community College,2901 Liberty Hts Ave,Baltimore,MD,"""21215-7893"""
Bangor Theological Seminary,Two College Circle,Bangor,ME,"""04402-0411"""
Bank Street College of Education,610 W 112 St,New York,NY,"""10025"""
Baptist Bible College,628 E Kearney,Springfield,MO,"""65803-3498"""
"Baptist Bible College, Graduate School and Seminary",538 Venard Rd,Clarks Summit,PA,"""18411"""
Baptist Health Schools Little Rock,"11900 Colonel Glenn Road, Suite 1000",Little Rock,AR,"""72210"""
Baptist Health System School of Health Professions,8400 Datapoint Drive,San Antonio,TX,"""78229"""
Baptist Memorial College of Health Sciences,1003 Monroe Ave,Memphis,TN,"""38104"""
Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,TX,"""75766-5407"""
Baptist Theological Seminary at Richmond,3400 Brook Road,Richmond,VA,"""23227-4536"""
Baptist University of the Americas,8019 S. Pan Am Expressway,San Antonio,TX,"""78224-1396"""
Barclay College,607 N Kingman,Haviland,KS,"""67059-0288"""
Bard College,30 Campus Road,Annandale-On-Hudson,NY,"""12504"""
Barnard College,3009 Broadway,New York,NY,"""10027-6598"""
Barry University,11300 NE 2nd Ave,Miami Shores,FL,"""33161-6695"""
Barstow Community College,2700 Barstow Road,Barstow,CA,"""92311"""
Barton College,200 Atlantic Christian College Drive,Wilson,NC,"""27893-7000"""
Barton County Community College,245 NE 30th Road,Great Bend,KS,"""67530"""
Baruch College of the City University of New York,One Bernard Baruch Way,New York,NY,"""10010"""
Bassett Adult School,943 North Sunkist Avenue,La Puente,CA,"""91746"""
Bastyr University,14500 Juanita Drive NE,Kenmore,WA,"""98028"""
Bates College,"2 Andrews Road, 2 Lane Hall",Lewiston,ME,"""04240"""
Bates Technical College,1101 S Yakima Ave,Tacoma,WA,"""98405"""
Baton Rouge College,1900 North Lobdall Avenue,Baton Rouge,LA,"""70806"""
Baton Rouge Community College,5310 Florida Blvd,Baton Rouge,LA,"""70806"""
Baton Rouge General Medical Center - Radiologic Technology,3600 Florida Blvd,Baton Rouge,LA,"""70806"""
Baton Rouge School of Computers,10425 Plaza Americana,Baton Rouge,LA,"""70816-8188"""
Bauder College,"384 Northyards Blvd., Suite 190",Atlanta,GA,"""30313"""
Bay Area College of Nursing,824 San Antonio Road,Palo Alto,CA,"""94303"""
Bay de Noc Community College,2001 N Lincoln Road,Escanaba,MI,"""49829-2511"""
Bay Mills Community College,12214 W Lakeshore Dr,Brimley,MI,"""49715"""
Bay Path College,588 Longmeadow Street,Longmeadow,MA,"""01106"""
Bay State College - Boston,122 Commonwealth Avenue,Boston,MA,"""02116"""
Bay State School of Technology,225 Turnpike St,Canton,MA,"""02021"""
Baylor College of Medicine,One Baylor Plaza BCM 365,Houston,TX,"""77030-3498"""
Baylor University,500 Speight Ave.,Waco,TX,"""76798"""
BCRI Career Training,1951 S. Saturn Way #120,Boise,ID,"""83709"""
Beacon College,105 E Main St,Leesburg,FL,"""34748"""
Beal College,99 Farm Road,Bangor,ME,"""04401"""
Beaufort County Community College,5337 Highway 264 East,Washington,NC,"""27889"""
Beaumont Adult School,1575 Cherry Avenue,Beaumont,CA,"""92223"""
Beautiful You School of Nail Technology,1830 North Main Street,Cedar City,UT,"""84720"""
Becker College,61 Sever St,Worcester,MA,"""01609-2165"""
Beckfield College,16 Spiral Drive,Florence,KY,"""41042"""
Beis Medrash Heichal Dovid,257 Beach 17th Street,Far Rockaway,NY,"""11691"""
Bel-Rea Institute of Animal Technology,1681 S Dayton St,Denver,CO,"""80247"""
Belhaven University,1500 Peachtree St,Jackson,MS,"""39202"""
Bella Capelli - A Paul Mitchell Partner School,151 Wyngate Drive,Monroeville,PA,"""15146"""
Bellarmine University,2001 Newburg Rd,Louisville,KY,"""40205-0671"""
Bellevue College,3000 Landerholm Circle SE,Bellevue,WA,"""98007-6484"""
Bellevue University,1000 Galvin Rd S,Bellevue,NE,"""68005-3098"""
Bellin College,725 S Webster Ave,Green Bay,WI,"""54301-3504"""
Bellingham Technical College,3028 Lindbergh Ave,Bellingham,WA,"""98225-1599"""
Bellus Academy,13266 Poway Rd,Poway,CA,"""92064"""
Bellus Academy - El Cajon,1073 E Main St,El Cajon,CA,"""92021"""
Bellus Academy - National City,1520 East Plaza Blvd,National City,CA,"""91950"""
Belmont Abbey College,100 Belmont-Mt Holly Road,Belmont,NC,"""28012-1802"""
Belmont Technical College,120 Fox Shannon Pl,St. Clairsville,OH,"""43950"""
Belmont University,1900 Belmont Blvd,Nashville,TN,"""37212-3757"""
Beloit College,700 College St,Beloit,WI,"""53511-5595"""
Bemidji State University,1500 Birchmont Drive NE,Bemidji,MN,"""56601"""
Benedict College,1600 Harden Street,Columbia,SC,"""29204-1086"""
Benedictine College,1020 N 2nd St,Atchison,KS,"""66002-1499"""
Benedictine University,5700 College Road,Lisle,IL,"""60532"""
Benjamin Franklin Institute of Technology,41 Berkeley St,Boston,MA,"""02116"""
Bennett Career Institute,700 Monroe Street N.E.,Washington,DC,"""20017"""
Bennett College for Women,900 E Washington St,Greensboro,NC,"""27401-3239"""
Bennington College,One College Drive,Bennington,VT,"""05201-6003"""
Bentley University,175 Forest St,Waltham,MA,"""02452-4705"""
Berdan Institute,"201 Willowbrook Blvd., 2nd Floor",Wayne,NJ,"""07470"""
Berea College,101 Chestnut Street,Berea,KY,"""40404-2182"""
Bergen Community College,400 Paramus Rd,Paramus,NJ,"""07652-1595"""
Bergen County Technical Schools - Adult and Continuing Education,200 Hackensack Avenue,Hackensack,NJ,"""07601-6637"""
Bergin University of Canine Studies,5860 Labath Avenue,Rohnert Park,CA,"""94928"""
Berk Trade and Business School,33-09 Queens Boulevard,Long Island City,NY,"""11101"""
Berkeley City College,2050 Center Street,Berkeley,CA,"""94704"""
Berkeley College,44 Rifle Camp Rd,West Paterson,NJ,"""07424"""
Berklee College of Music,1140 Boylston St,Boston,MA,"""02215"""
Berks Career and Technolgy Center,1057 County Road,Leesport,PA,"""19533"""
Berks Technical Institute,2205 Ridgewood Rd,Wyomissing,PA,"""19610-1168"""
Berkshire Community College,1350 West Street,Pittsfield,MA,"""01201-5786"""
Berlitz Language Centers,400 Alexander Park,Princeton,NJ,"""08540"""
Berry College,2277 Martha Berry Hwy NW,Mount Berry,GA,"""30149"""
Best Care Training Institute,68 South Harrison Street,East Orange,NJ,"""07018"""
Beth Hamedrash Shaarei Yosher Institute,4102 16th Ave,Brooklyn,NY,"""11204"""
Beth HaTalmud Rabbinical College,2127 82nd Street,Brooklyn,NY,"""11214"""
Beth Medrash Govoha,617 6th Street,Lakewood,NJ,"""08701-2754"""
Bethany College,335 E. Swensson Street,Lindsborg,KS,"""67456"""
Bethany Lutheran College,700 Luther Dr,Mankato,MN,"""56001"""
Bethany Theological Seminary,615 National Rd W,Richmond,IN,"""47374-4019"""
Bethel College,1001 W McKinley Ave,Mishawaka,IN,"""46545"""
Bethel Seminary,3949 Bethel Dr,Saint Paul,MN,"""55112"""
Bethel University,3900 Bethel Drive,St. Paul,MN,"""55112"""
Bethesda University,730 N. Euclid St,Anaheim,CA,"""92801"""
Bethune - Cookman University,640 Dr Mary McLeod Bethune Blvd,Daytona Beach,FL,"""32114-3099"""
Beulah Heights University,892 Berne St SE,Atlanta,GA,"""30316"""
Bevill State Community College,101 State St,Sumiton,AL,"""35148"""
Bexley Hall Seminary,583 Sheridan Avenue,Columbus,OH,"""43209"""
Biblical Theological Seminary,200 N Main St,Hatfield,PA,"""19440"""
Bidwell Training Center Inc,1815 Metropolitan St,Pittsburgh,PA,"""15233"""
Big Bend Community College,7662 Chanute Street,Moses Lake,WA,"""98837-3299"""
Big Sandy Community and Technical College,One Bert Combs Dr,Prestonsburg,KY,"""41653"""
Bilingual Education Institute,6060 Richmond Avenue,Houston,TX,"""77063"""
Bio-Chi Institute,1925 Geneva,Sioux City,IA,"""51103"""
BioHealth College,1631 N First Street,San Jose,CA,"""95112"""
Biola University,13800 Biola Ave,La Mirada,CA,"""90639-0001"""
Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,"""35254"""
Birthingway College of Midwifery,12113 SE Foster Rd,Portland,OR,"""97266"""
Birthwise Midwifery School,24 South High Street,Bridgton,ME,"""04009"""
Bishop State Community College,351 North Broad Street,Mobile,AL,"""36603-5362"""
Bismarck State College,P.O. Box 5587,Bismarck,ND,"""58506-5587"""
Black Hawk College - Quad-Cities Campus,6600 34th Avenue,Moline,IL,"""61265-5899"""
Black Hills State University,1200 University St,Spearfish,SD,"""57799-9500"""
Black River Technical College,1410 Hwy 304 East,Pocahontas,AR,"""72455"""
Blackburn College,700 College Ave,Carlinville,IL,"""62626"""
Blackfeet Community College,Highway 2 & 89,Browning,MT,"""59417-0819"""
Blackhawk Technical College,"P.O. Box 5009, 6004 County Rd G",Janesville,WI,"""53547-5009"""
Blackstone Career Institute,1011 Brookside Road Suite 300,Allentown,PA,"""18106"""
Bladen Community College,7418 NC Highway 41 West,Dublin,NC,"""28332"""
Blake Austin College,611-K Orange Drive,Vacaville,CA,"""95687"""
Blessed John XXIII National Seminary,558 South Ave,Weston,MA,"""02493-2699"""
Blessing Hospital,"1005 Broadway, P.O. Box 7005",Quincy,IL,"""62305-7005"""
Blessing-Rieman College of Nursing,"P.O. Box 7005, Broadway at 11th Street",Quincy,IL,"""62305-7005"""
Blinn College,902 College Ave,Brenham,TX,"""77833-4098"""
Bloomfield College,467 Franklin St,Bloomfield,NJ,"""07003"""
Bloomsburg University of Pennsylvania,400 E Second St,Bloomsburg,PA,"""17815"""
Blue Cliff - Houma,803 Borrow Street,Houma,LA,"""70360"""
Blue Cliff Career College,"2970 Cottage Hill Rd., Suite 175",Mobile,AL,"""36606"""
Blue Cliff College - Alexandria,"1505 Metro Drive, Suite I",Alexandria,LA,"""71301"""
Blue Cliff College - Fayetteville,3448 North College Avenue,Fayetteville,AR,"""72703"""
Blue Cliff College - Gulfport,12251 Bernard Parkway,Gulfport,MS,"""39503"""
Blue Cliff College - Lafayette,100 Asma Blvd Ste 350,Lafayette,LA,"""70508-3862"""
Blue Cliff College - Metairie,3200 Cleary Avenue,Metairie,LA,"""70002"""
Blue Cliff College - Shreveport,8731 Park Plaza Drive,Shreveport,LA,"""71105"""
Blue Hills Regional Technical School,800 Randolph St,Canton,MA,"""02021"""
Blue Mountain College,201 W Main St,Blue Mountain,MS,"""38610-9509"""
Blue Mountain Community College,2411 NW Carden Ave,Pendleton,OR,"""97801"""
Blue Ridge Community and Technical College,13650 Apple Harvest Drive,Martinsburg,WV,"""25403"""
Blue Ridge Community College,1 College Lane,Weyers Cave,VA,"""24486-0080"""
Blue Ridge Job Corps Center,234 West Main Street,Marion,VA,"""24354"""
Blue Sky Associates of Western NY Dale Carnegie Training,"1200a Scottsville Road, Suite D470",Rochester,NY,"""14624"""
Bluefield College,3000 College Dr,Bluefield,VA,"""24605"""
Bluefield State College,219 Rock St,Bluefield,WV,"""24701"""
Bluegrass Community and Technical College,470 Cooper Drive,Lexington,KY,"""40506"""
Bluffton University,1 University Drive,Bluffton,OH,"""45817-2104"""
Blush School of Makeup,"1 Market Street, Suite 140",San Francisco,CA,"""94105"""
Bob Jones University,1700 Wade Hampton Boulevard,Greenville,SC,"""29614"""
Body Therapy Institute,300 Southwind Road,Siler City,NC,"""27344"""
Boise Bible College,8695 W Marigold St,Boise,ID,"""83714-1220"""
Boise State University,1910 University Dr,Boise,ID,"""83725"""
Bon Secours Memorial College of Nursing,8550 Magellan Pkwy #1100,Richmond,VA,"""23227-1149"""
Boonslick Technical Education Center,1694 Ashley Rd,Boonville,MO,"""65233"""
Border Institute of Technology,9611 Acer Ave,El Paso,TX,"""79925"""
Boricua College,3755 Broadway,New York,NY,"""10032-1560"""
Borough of Manhattan Community College of the City University of New York,199 Chambers St,New York,NY,"""10007-1097"""
Bossier Parish Community College,6220 East Texas,Bossier City,LA,"""71111-6922"""
Boston Academy of English,"38 Chauncy Street, 8th Floor",Boston,MA,"""02111"""
Boston Architectural Center,320 Newbury St,Boston,MA,"""02115-2703"""
Boston Baptist College,950 Metropolitan Ave,Boston,MA,"""02136-4030"""
Boston College,140 Commonwealth Ave,Chestnut Hill,MA,"""02467"""
Boston Graduate School of Psychoanalysis Inc,1581 Beacon St,Brookline,MA,"""02446"""
Boston School of Modern Language,814 South Street,Roslindale,MA,"""02131"""
Boston University,One Sherborn St.,Boston,MA,"""02215"""
Bowdoin College,5700 College Station - President's Office,Brunswick,ME,"""04011-8448"""
Bowie State University,14000 Jericho Park Rd,Bowie,MD,"""20715-9465"""
Bowling Green State University,1001 East Wooster Street,Bowling Green,OH,"""43403"""
Boxelder Job Corps Center,22023 Job Corps Place,Nemo,SD,"""57759"""
Bradford School,2469 Stelzer Road,Columbus,OH,"""43219"""
Bradford-Union Vocational Technical Center,609 N Orange St,Starke,FL,"""32091"""
Bradley University,1501 W Bradley Ave,Peoria,IL,"""61625-0001"""
Bramson ORT College,69-30 Austin St,Forest Hills,NY,"""11375-4239"""
