Champlain College|VT
Chapman University|CA
Charles A. Jones Skills and Business Education Center|CA
Charles D. Eubank & Associates, Inc. Dale Carnegie Training|IN
Charles H McCann Technical School|MA
Charles R Drew University of Medicine and Science|CA
Charles Stewart Mott Community College|MI
Charles Stuart School|NY
Charleston School of Law|SC
Charleston Southern University|SC
Charlie's Guard-Detective Bureau and Academy Inc|PR
Charlotte School of Law|NC
Charlotte Technical Center|FL
Charter College|AK
Charter College - Canyon Country|CA
Charter Oak State College|CT
Chatfield College|OH
Chatham University|PA
Chattahoochee Technical College|GA
Chattahoochee Valley Community College|AL
Chattanooga College - Med. & Dental Tech Careers|TN
Chattanooga State Community College|TN
Chemeketa Community College|OR
Cheryl Fells School of Business|NY
Chesapeake College|MD
Chestnut Hill College|PA
Cheyney University of Pennsylvania|PA
CHI Institute|PA
Chicago School of Professional Psychology|IL
Chicago State University|IL
Chicago Theological Seminary|IL
Chief Dull Knife College|MT
Childcare Education Institute|GA
China Evangelical Seminary North America|CA
Chipola College|FL
Chippewa Valley Technical College|WI
Chiron Training Center|NJ
Chisholm Trail Technology Center|OK
Chowan University|NC
Christ College of Nursing and Health Sciences|OH
Christ the King Seminary|NY
Christendom College|VA
Christian Brothers University|TN
Christian Life College|IL
Christian Theological Seminary|IN
Christie's Education Inc.|NY
Christine Vamy International School for esthetics, Skin Care & Makeup|NY
Christopher Newport University|VA
Church Divinity School of the Pacific|CA
Cincinnati Bible Seminary of Cincinnati Christian University|OH
Cincinnati Christian University|OH
Cincinnati College of Mortuary Science|OH
Cincinnati Montessori Secondary Teacher Education Program|OH
Cincinnati State Technical and Community College|OH
Cinta Aveda Institute|CA
Circle in the Square Theater School|NY
Cisco Junior College|TX
CIT College of InfoMedical Technology|CA
CIT College of InfoMedical Technology - Fullerton|CA
Citrus College|CA
City College - Altamonte Springs|FL
City College - Fort Lauderdale|FL
City College of New York of the City University of New York, The|NY
City College of San Francisco|CA
City Colleges of Chicago - Wilbur Wright College|IL
City Colleges of Chicago-Harold Washington College|IL
City Colleges of Chicago-Harry S Truman College|IL
City Colleges of Chicago-Kennedy-King College|IL
City Colleges of Chicago-Malcolm X College|IL
City Colleges of Chicago-Olive-Harvey College|IL
City Colleges of Chicago-Richard J Daley College|IL
City University of Seattle|WA
City Vision College|MO
Clackamas Community College|OR
Claflin University|SC
Claremont Graduate University|CA
Claremont Lincoln University|CA
Claremont McKenna College|CA
Claremont School of Theology|CA
Clarendon College|TX
Clarion University of Pennsylvania|PA
Clark Atlanta University|GA
Clark College|WA
Clark State Community College|OH
Clark University|MA
Clarke University|IA
Clarkson College|NE
Clarkson University|NY
Clatsop Community College|OR
Clayton  State University|GA
Clear Creek Baptist Bible College|KY
Clearfield County Career and Technology Center|PA
Clearwater Christian College|FL
Cleary University|MI
Clemson University|SC
Cleveland Clinic Health System - School of Diagnostic Imaging|OH
Cleveland Community College|NC
Cleveland Institute of Art|OH
Cleveland Institute of Dental-Medical Assistants|OH
Cleveland Institute of Electronics|OH
Cleveland Institute of Music|OH
Cleveland State Community College|TN
Cleveland State University|OH
Cleveland University-Kansas City|KS
Clinical Research Academy of America|NJ
Clinton College|SC
Clinton Community College|NY
Clinton Technical School|MO
Clinton-Essex-Warren-Washington BOCES|NY
Cloud County Community College|KS
Clover Park Technical College|WA
Clovis Adult Education|CA
Clovis Community College|NM
CNI College|CA
Coahoma Community College|MS
Coast Career Institute|CA
Coastal Bend College|TX
Coastal Carolina Community College|NC
Coastal Carolina University|SC
Coastal College|LA
Coastline Community College|CA
COBA Academy|CA
Cochise College|AZ
Coconino County Community College|AZ
CODE MED School of Professional Medical Coding|CA
Coe College|IA
Coffeyville Community College|KS
Cogswell Polytechnical College|CA
Coker College|SC
Colby College|ME
Colby Community College|KS
Colby-Sawyer College|NH
Cold Spring Harbor Laboratory|NY
Cole Holland College|UT
Colegio Cinematografia, Artes y Television|PR
Colegio Mayor de Tecnologia Inc|PR
Colegio Tecnico de Electricidad Galloza|PR
Colegio Tecnico Metropolitano|PR
Colegio Tecnologico y Comercial de Puerto Rico|PR
Colegio Universitario de San Juan|PR
Coleman University|CA
Colgate Rochester Crozer Divinity School|NY
Colgate University|NY
College America - Cheyenne|WY
College America - Flagstaff|AZ
College America - Phoenix|AZ
College for Creative Studies|MI
College for Financial Planning, Inc.|CO
College of Alameda|CA
College of Art Advertising|OH
College of Biblical Studies-Houston|TX
College of Business and Technology|FL
College of Career Training|CA
College of Central Florida|FL
College of Charleston|SC
College of Coastal Georgia|GA
College of Court Reporting Inc|IN
College of DuPage|IL
College of Eastern Utah|UT
College of Idaho|ID
College of Industrial Repairs|CA
College of International Esthetics|CO
College of Lake County|IL
College of Marin|CA
College of Medicine, Mayo Clinic|MN
College of Menominee Nation|WI
College of Micronesia-FSM|FM
College of Mount Saint Vincent|NY
College of Mount St. Joseph|OH
College of Our Lady of the Elms|MA
College of Saint Benedict|MN
College of Saint Elizabeth|NJ
College of Saint Mary|NE
College of Saint Scholastica|MN
College of San Mateo|CA
College of Southern Idaho|ID
College of Southern Maryland|MD
College of Southern Nevada|NV
College of St Joseph|VT
College of Staten Island of the City University of New York|NY
College of the Albemarle|NC
College of the Atlantic|ME
College of the Canyons|CA
College of the Desert|CA
College of the Holy Cross|MA
College of the Mainland|TX
College of the Marshall Islands|MH
College of the Muscogee Nation|OK
College of the Ozarks|MO
College of the Redwoods|CA
College of the Sequoias|CA
College of the Siskiyous|CA
College of Western Idaho|ID
College of William and Mary|VA
College of Wilmington|NC
CollegeAmerica - Colorado Springs|CO
CollegeAmerica - Denver|CO
CollegeAmerica - Fort Collins|CO
Collin County Community College District|TX
Color My Nails School of Nail Technology|UT
Colorado Academy of Veterinary Technology|CO
Colorado Christian University|CO
Colorado College|CO
Colorado Heights University|CO
Colorado Mesa University|CO
Colorado Mountain College|CO
Colorado Northwestern Community College|CO
Colorado School of English|CO
Colorado School of Healing Arts|CO
Colorado School of Mines|CO
Colorado School of Trades|CO
Colorado School of Traditional Chinese Medicine|CO
Colorado State University|CO
Colorado State University - Pueblo|CO
Colorado State University:  Global Campus|CO
Colorado Technical University|CO
Colton-Redlands-Yucaipa Regional Occupational Program|CA
Columbia Basin College|WA
Columbia Centro Universitario|PR
Columbia College|CA
Columbia College|MO
Columbia College|SC
Columbia College|VA
Columbia College Chicago|IL
Columbia College Hollywood|CA
Columbia College of Nursing|WI
Columbia Gorge Community College|OR
Columbia International University|SC
Columbia Southern University|AL
Columbia State Community College|TN
Columbia Theological Seminary|GA
Columbia University in the City of New York|NY
Columbia West College|CA
Columbia-Greene Community College|NY
Columbiana County Career and Technical Center|OH
Columbus College of Art and Design|OH
Columbus Montessori Teacher Education Program (AMS)|OH
Columbus State Community College|OH
Columbus State University|GA
Columbus Technical College|GA
Comanche Nation College|OK
Commercial Driver Training|NY
Commonwealth Institute of Funeral Service|TX
Commonwealth Medical College|PA
Commonwealth Technical Institute|PA
Community Care College|OK
Community Christian College|CA
Community College of Allegheny County|PA
Community College of Aurora|CO
Community College of Beaver County|PA
Community College of Denver|CO
Community College of Philadelphia|PA
Community College of Rhode Island|RI
Community College of the Air Force|AL
Community College of Vermont|VT
Community Enhancement Services - CES College|CA
Community Technical and Adult Education Center|FL
Community Vocational School Carlos F. Daniels|PR
Community Vocational School Jose A. Montanez Genaro|PR
Community Vocational School Tomas C. Ongay|PR
Compass Career College|LA
Compass Film Academy|MI
Compu-Med Vocational Careers - Miami|FL
Compu-Med Vocational Careers Corp|FL
Computer Institute of Technology|CA
Computer Training Academy|CA
Computer Tutor Business and Technical Institute|CA
ComputerTraining.com at Chantilly,VA,LLC|VA
ComputerTraining.com at Cleveland, LLC|OH
ComputerTraining.com at Indianapolis|IN
ComputerTraining.com at King of Prussia, PA, LLC|PA
ComputerTraining.com at Towson, MD LLC|MD
ComputerTraining.com of Delaware, LLC The Christiana Corporate Center|DE
Com-Tec Institute|NJ
Conception Seminary College|MO
Concord University|WV
Concorde Career College|CA
Concorde Career College|MO
Concorde Career College|TN
Concorde Career College - Aurora|CO
Concorde Career Institute|FL
Concorde Career Institute|OR
Concorde Career Institute|TX
Concorde Career Institute - Orlando|FL
Concordia College|MN
Concordia College|NY
Concordia College Alabama|AL
Concordia Seminary|MO
Concordia Theological Seminary|IN
Concordia University|CA
Concordia University|MI
Concordia University|NE
Concordia University|OR
Concordia University at Austin|TX
Concordia University Chicago|IL
Concordia University Wisconsin|WI
Concordia University, St. Paul|MN
Conemaugh Valley Memorial Hospital - Radiography|PA
Connect English Language Institute|CA
Connecticut College|CT
Connecticut Training Centers Inc|CT
Connors State College|OK
Conservatory of Recording Arts and Sciences|AZ
Consolidated School of Business|PA
Contra Costa College|CA
Contra Costa Medical Career College, Inc.|CA
Converse College|SC
Conway School of Landscape Design|MA
Cooking and Hospitality Institute of Chicago|IL
Cooper Union for the Advancement of Science and Art|NY
Cope Institute|NY
Copiah-Lincoln Community College|MS
Copper Mountain College|CA
Coppin State University|MD
Coral Ridge Nurses Assistant Training School Inc|FL
Coral Springs Fire Academy|FL
Corban University|OR
Corcoran College of Art and Design|DC
Cornell College|IA
Cornell University|NY
Cornerstone University|MI
Corning Community College|NY
Cornish College of the Arts|WA
Corporate Change Catalysts Consortium of the West LLC|CO
Cortiva Institute - Boston|MA
Cortiva Institute - Chicago|IL
Cortiva Institute - Desert Institute of the Healing Arts|AZ
Cortiva Institute - Pennsylvania School of Muscle Therapy|PA
Cortiva Institute - Scottsdale|AZ
Cortiva Institute - Seattle|WA
